yearWeek,targetCount
201537,2
201541,0
201546,0
201549,0
201611,0
201614,0
201617,0
201620,25
201623,36
201626,14
201629,3
201632,4
201635,3
201638,1
201641,2
201647,0
201713,0
201716,1
201719,25
201722,37
201725,13
201728,4
201731,10
201734,0
201736,0
201740,1
201811,0
201814,0
201817,0
201820,3
201823,6
201826,4
201829,0
201832,1
201835,0
201838,6
201528,3
201534,0
201546,0
201611,0
201614,0
201617,1
201620,2
201623,1
201626,1
201629,0
201632,0
201635,1
201638,1
201641,1
201647,0
201713,0
201716,0
201719,0
201722,2
201725,2
201728,2
201731,0
201734,0
201736,2
201740,0
201811,0
201814,0
201817,1
201820,0
201823,0
201826,1
201829,0
201832,1
201835,0
201838,1
201532,3
201535,3
201538,2
201609,0
201612,0
201615,0
201618,21
201621,31
201624,32
201627,16
201630,13
201633,3
201636,0
201639,0
201642,0
201645,0
201648,0
201713,0
201716,2
201719,17
201721,6
201725,8
201728,3
201731,2
201734,2
201737,3
201813,0
201816,0
201819,25
201822,50
201825,5
201828,6
201831,9
201834,2
201837,2
201426,55
201429,34
201450,0
201533,0
201537,25
201549,0
201610,0
201613,1
201616,2
201619,26
201622,16
201625,14
201628,6
201634,0
201637,0
201640,1
201643,0
201646,0
201712,0
201715,0
201718,12
201721,21
201724,21
201727,33
201731,16
201733,36
201736,3
201739,2
201813,0
201816,9
201819,24
201828,92
201832,191
201834,70
201837,62
201840,14
201429,8
201444,0
201450,0
201542,0
201610,0
201613,1
201616,0
201619,9
201622,7
201625,12
201628,9
201631,3
201634,2
201637,2
201643,0
201646,0
201712,0
201715,1
201718,6
201721,8
201724,0
201727,7
201731,7
201733,7
201736,3
201739,3
201813,0
201816,0
201819,3
201823,7
201825,17
201828,4
201832,6
201834,6
201837,4
201840,1
201426,12
201426,4
201429,14
201429,1
201527,10
201527,1
201533,8
201533,1
201537,2
201537,0
201542,0
201542,0
201546,0
201546,0
201610,2
201610,0
201613,2
201613,0
201616,5
201616,2
201619,8
201619,10
201622,9
201622,1
201625,23
201625,3
201628,41
201628,1
201637,3
201637,1
201640,2
201640,0
201643,0
201643,0
201646,0
201646,0
201712,1
201712,0
201715,6
201715,1
201718,12
201718,2
201721,7
201721,1
201724,17
201724,4
201727,10
201727,0
201731,5
201731,1
201733,9
201733,0
201736,3
201736,0
201739,0
201739,0
201813,0
201813,0
201816,1
201816,1
201819,9
201819,3
201823,11
201823,7
201828,10
201828,5
201832,12
201832,2
201834,4
201834,0
201837,3
201837,0
201840,0
201840,2
201426,64
201429,32
201450,0
201533,2
201537,1
201610,0
201613,1
201616,0
201619,8
201622,16
201625,10
201628,7
201631,5
201634,2
201637,0
201640,0
201643,0
201646,0
201712,1
201715,0
201718,13
201721,14
201724,13
201727,14
201731,8
201733,7
201736,0
201739,0
201813,0
201816,0
201819,9
201823,31
201828,25
201832,27
201834,25
201837,7
201840,0
201426,42
201429,14
201444,0
201450,0
201524,0
201527,4
201533,6
201537,3
201540,0
201610,1
201613,1
201616,4
201619,6
201622,10
201625,9
201628,2
201631,6
201634,2
201637,1
201640,0
201643,0
201646,0
201712,0
201715,0
201718,5
201721,4
201724,11
201727,5
201731,5
201733,6
201736,2
201739,0
201813,0
201816,4
201819,15
201823,42
201825,84
201828,35
201837,31
201840,1
201426,8
201429,5
201450,0
201527,4
201533,1
201610,0
201613,0
201616,3
201619,3
201622,3
201625,2
201628,2
201631,6
201634,13
201637,1
201640,0
201643,0
201646,0
201712,0
201715,10
201718,35
201721,31
201724,0
201727,33
201731,26
201733,18
201736,3
201739,3
201813,0
201816,0
201819,0
201823,7
201828,7
201832,2
201834,0
201837,0
201840,0
201424,16
201427,21
201431,5
201433,4
201443,0
201445,0
201527,2
201610,0
201613,0
201616,0
201620,5
201622,16
201625,6
201628,3
201631,0
201634,0
201637,0
201640,0
201643,0
201646,0
201649,0
201712,0
201715,0
201718,0
201722,5
201724,5
201727,1
201730,2
201733,0
201736,0
201739,0
201813,0
201816,0
201818,2
201822,5
201825,8
201828,0
201834,1
201838,1
201840,0
201424,0
201424,49
201427,0
201427,16
201430,0
201430,6
201433,0
201433,2
201443,0
201443,0
201445,0
201445,0
201527,38
201527,1
201530,19
201530,4
201533,11
201533,0
201545,0
201545,0
201551,0
201551,0
201610,0
201610,0
201613,0
201613,0
201616,0
201616,0
201622,1
201622,41
201625,3
201625,29
201628,2
201628,5
201631,0
201631,4
201634,1
201634,0
201637,0
201637,0
201640,0
201640,1
201643,0
201643,0
201646,0
201646,0
201649,0
201649,0
201712,0
201712,0
201715,2
201715,1
201718,3
201718,1
201722,18
201722,13
201724,17
201724,3
201727,12
201727,5
201730,24
201730,2
201733,2
201733,0
201736,0
201736,0
201739,0
201739,0
201813,0
201813,0
201816,0
201816,0
201818,0
201818,0
201822,10
201822,23
201825,7
201825,10
201828,10
201828,8
201831,3
201831,2
201834,2
201834,0
201838,0
201838,0
201840,0
201840,0
201526,13
201526,7
201535,1
201535,0
201612,0
201612,0
201615,5
201615,0
201621,23
201621,10
201624,11
201624,9
201627,7
201627,7
201633,1
201633,0
201636,0
201636,0
201640,0
201640,0
201642,0
201642,1
201645,0
201645,0
201648,0
201648,0
201714,0
201714,0
201717,8
201717,7
201720,11
201720,3
201723,5
201723,9
201726,6
201726,1
201729,3
201729,1
201732,0
201732,0
201736,1
201736,1
201739,0
201739,1
201742,0
201742,2
201813,0
201813,0
201814,0
201814,0
201818,9
201818,0
201821,22
201821,17
201824,1
201824,0
201827,14
201827,2
201833,2
201833,2
201836,5
201836,0
201547,0
201612,0
201615,6
201621,40
201624,50
201627,26
201630,28
201634,14
201636,6
201640,1
201642,0
201645,0
201648,0
201714,1
201717,2
201720,23
201724,27
201726,14
201729,13
201732,7
201736,5
201739,0
201742,0
201813,0
201814,1
201818,0
201821,21
201824,37
201833,31
201836,11
201838,8
201532,0
201532,1
201535,0
201535,0
201547,0
201547,0
201612,0
201612,0
201615,0
201615,1
201621,0
201621,1
201624,2
201624,9
201627,2
201627,2
201630,2
201630,2
201633,4
201633,0
201636,1
201636,0
201639,0
201639,0
201642,0
201642,1
201645,0
201645,0
201648,0
201648,0
201714,0
201714,0
201717,5
201717,2
201720,15
201720,4
201724,28
201724,7
201726,7
201726,1
201729,6
201729,1
201732,3
201732,0
201736,0
201736,4
201738,0
201738,1
201742,0
201742,0
201813,0
201813,0
201814,0
201814,0
201821,11
201821,7
201824,9
201824,4
201827,8
201827,1
201833,1
201833,2
201836,0
201836,0
201838,0
201838,0
201535,1
201535,0
201612,0
201612,0
201615,0
201615,0
201621,3
201621,5
201624,3
201624,10
201627,0
201627,5
201630,2
201630,2
201633,1
201633,0
201636,0
201636,1
201639,0
201639,0
201642,0
201642,1
201645,0
201645,1
201648,0
201648,0
201714,0
201714,0
201717,7
201717,2
201720,20
201720,0
201724,20
201724,1
201726,4
201726,0
201729,4
201729,0
201732,1
201732,2
201736,0
201736,2
201738,0
201738,2
201742,0
201742,0
201813,0
201813,0
201814,0
201814,0
201818,0
201818,0
201821,26
201821,8
201824,14
201824,6
201827,3
201827,5
201833,3
201833,0
201836,1
201836,0
201838,1
201838,0
201535,1
201535,1
201547,0
201547,0
201612,0
201612,0
201615,0
201615,0
201621,9
201621,15
201624,3
201624,7
201627,11
201627,9
201630,2
201630,3
201633,1
201633,2
201640,0
201640,0
201642,0
201642,0
201645,0
201645,0
201648,0
201648,0
201714,0
201714,0
201717,6
201717,3
201720,12
201720,1
201723,11
201723,6
201726,6
201726,1
201729,5
201729,0
201732,3
201732,0
201736,3
201736,2
201738,0
201738,3
201742,0
201742,1
201813,0
201813,0
201814,0
201814,0
201818,0
201818,3
201821,4
201821,9
201824,8
201824,15
201827,5
201827,3
201833,2
201833,1
201836,0
201836,0
201838,1
201838,0
201422,17
201425,10
201428,11
201546,0
201616,0
201618,4
201621,6
201624,2
201628,4
201630,4
201634,0
201637,9
201639,0
201642,1
201645,0
201711,0
201714,1
201717,9
201720,7
201723,1
201726,9
201729,2
201733,2
201735,6
201738,5
201812,0
201815,2
201821,3
201824,8
201827,7
201830,4
201833,5
201836,6
201840,2
201422,59
201425,47
201428,50
201534,4
201540,0
201616,7
201618,6
201621,6
201624,3
201628,5
201630,7
201634,5
201639,6
201642,0
201645,0
201711,2
201714,19
201717,53
201720,36
201723,38
201726,44
201729,17
201733,39
201735,26
201738,31
201812,1
201815,3
201818,6
201821,15
201824,2
201827,10
201830,9
201833,4
201836,7
201840,2
201422,6
201425,12
201428,6
201440,0
201537,15
201540,7
201546,0
201612,0
201616,30
201618,25
201621,14
201624,15
201628,18
201630,14
201634,15
201637,3
201639,8
201642,1
201645,0
201711,0
201714,5
201717,20
201720,28
201723,0
201726,38
201729,10
201735,6
201812,0
201815,1
201818,15
201821,15
201824,5
201827,9
201830,9
201833,2
201836,9
201840,2
201530,58
201533,64
201536,24
201613,0
201616,0
201619,0
201622,38
201625,42
201628,8
201631,50
201635,31
201637,17
201641,1
201643,0
201646,0
201713,0
201715,15
201718,0
201721,26
201724,55
201727,36
201730,9
201733,6
201736,9
201739,4
201812,0
201815,0
201818,16
201821,32
201824,7
201827,19
201830,19
201834,15
201837,3
201839,3
201530,9
201536,6
201613,0
201616,0
201619,0
201622,20
201625,0
201628,6
201631,4
201635,24
201635,0
201637,11
201641,0
201643,0
201646,0
201713,0
201715,0
201718,42
201721,0
201724,69
201727,72
201730,20
201733,23
201736,17
201739,10
201812,0
201815,0
201818,6
201821,31
201824,0
201827,9
201830,3
201834,10
201836,6
201839,3
201530,14
201613,0
201616,0
201619,0
201622,8
201625,22
201628,0
201631,24
201635,15
201637,6
201641,0
201643,0
201646,0
201713,0
201715,7
201718,0
201721,5
201724,0
201727,105
201730,0
201733,0
201736,13
201739,6
201812,0
201815,0
201818,3
201821,29
201824,4
201827,14
201830,12
201834,9
201836,9
201839,2